id,age, gender, education_level, job_title, years_of_experience, salary
1988,30,Male,Bachelors Degree,Back end Developer,5,100000
1989,42,Male,Masters Degree,Software Engineer Manager,13,170000
1990,33,Female,Bachelors Degree,Full Stack Engineer,6,115000
1991,45,Male,PhD,Senior Project Engineer,16,185000
1992,29,Female,Bachelors Degree,Front end Developer,4,90000
1993,39,Female,Masters Degree,Software Engineer Manager,12,160000
1994,27,Male,Bachelors Degree,Back end Developer,3,80000
1995,49,Male,PhD,Senior Project Engineer,17,195000
1996,32,Female,Masters Degree,Full Stack Engineer,6,115000
1997,36,Male,Bachelors Degree,Software Engineer Manager,8,135000
1998,27,Male,Bachelors Degree,Front end Developer,2,65000
1999,43,Female,PhD,Senior Project Engineer,14,190000
2000,34,Male,Masters Degree,Back end Developer,8,140000
2001,46,Male,PhD,Software Engineer Manager,16,185000
2002,33,Female,Bachelors Degree,Full Stack Engineer,7,130000
2003,30,Female,Masters Degree,Front end Developer,5,105000
2004,50,Male,PhD,Senior Project Engineer,19,200000
2005,30,Male,Bachelors Degree,Back end Developer,5,100000
2006,42,Male,Masters Degree,Software Engineer Manager,13,170000
2007,33,Female,Bachelors Degree,Full Stack Engineer,6,115000
2008,45,Male,PhD,Senior Project Engineer,16,185000
2009,29,Female,Bachelors Degree,Front end Developer,4,90000
2010,27,Male,No Degree,Developer,7,100000
2011,31,Female,Bachelors Degree,Front end Developer,6,110000
2012,37,Male,Masters Degree,Software Engineer Manager,10,150000
2013,27,Male,Bachelors Degree,Back end Developer,3,80000
2014,50,Male,PhD,Senior Project Engineer,18,195000
2015,32,Female,Masters Degree,Full Stack Engineer,6,115000
2016,36,Male,Bachelors Degree,Software Engineer Manager,8,135000
2017,27,Male,Bachelors Degree,Front end Developer,2,65000
2018,43,Female,PhD,Senior Project Engineer,14,190000
2019,34,Male,Masters Degree,Back end Developer,8,140000
2020,46,Male,PhD,Software Engineer Manager,16,185000
2021,33,Female,Bachelors Degree,Full Stack Engineer,7,130000
2022,30,Female,Masters Degree,Front end Developer,5,105000
2023,50,Male,PhD,Senior Project Engineer,19,200000
2024,30,Male,Bachelors Degree,Back end Developer,5,100000
2025,42,Male,Masters Degree,Software Engineer Manager,13,170000
2026,33,Female,Bachelors Degree,Full Stack Engineer,6,115000
2027,45,Male,PhD,Senior Project Engineer,16,185000
2028,29,Female,Bachelors Degree,Front end Developer,4,90000
2029,39,Female,Masters Degree,Software Engineer Manager,12,160000
2030,27,Male,Bachelors Degree,Back end Developer,3,80000
2031,49,Male,PhD,Senior Project Engineer,17,195000
2032,32,Female,Masters Degree,Full Stack Engineer,6,115000
2033,36,Male,Bachelors Degree,Software Engineer Manager,8,135000
2034,27,Male,Bachelors Degree,Front end Developer,2,65000
2035,43,Female,PhD,Senior Project Engineer,14,190000
2036,34,Male,Masters Degree,Back end Developer,8,140000
2037,46,Male,PhD,Software Engineer Manager,16,185000
2038,33,Female,Bachelors Degree,Full Stack Engineer,7,130000
2039,30,Female,Masters Degree,Front end Developer,5,105000
2040,50,Male,PhD,Senior Project Engineer,19,200000
2041,30,Male,Bachelors Degree,Back end Developer,5,100000
2042,42,Male,Masters Degree,Software Engineer Manager,13,170000
2043,33,Female,Bachelors Degree,Full Stack Engineer,6,115000
2044,45,Male,PhD,Senior Project Engineer,16,185000
2045,29,Female,Bachelors Degree,Front end Developer,4,90000
2046,39,Female,Masters Degree,Software Engineer Manager,12,160000
2047,27,Male,Bachelors Degree,Back end Developer,3,80000
2048,49,Male,PhD,Senior Project Engineer,17,195000
2049,32,Female,Masters Degree,Full Stack Engineer,6,115000
2050,36,Male,Bachelors Degree,Software Engineer Manager,8,135000
2051,27,Male,Bachelors Degree,Front end Developer,2,65000
2052,43,Female,PhD,Senior Project Engineer,14,190000
2053,34,Male,Masters Degree,Back end Developer,8,140000
2054,46,Male,PhD,Software Engineer Manager,16,185000
2055,33,Female,Bachelors Degree,Full Stack Engineer,7,130000
2056,30,Female,Masters Degree,Front end Developer,5,105000
2057,50,Male,PhD,Senior Project Engineer,19,200000
2058,30,Male,Bachelors Degree,Back end Developer,5,100000
2059,42,Male,Masters Degree,Software Engineer Manager,13,170000
2060,33,Female,Bachelors Degree,Full Stack Engineer,6,115000
2061,45,Male,PhD,Senior Project Engineer,16,185000
2062,29,Female,Bachelors Degree,Front end Developer,4,90000
2063,39,Female,Masters Degree,Software Engineer Manager,12,160000
2064,27,Male,Bachelors Degree,Back end Developer,3,80000
2065,49,Male,PhD,Senior Project Engineer,17,195000
2066,32,Female,Masters Degree,Full Stack Engineer,6,115000
2067,36,Male,Bachelors Degree,Software Engineer Manager,8,135000
2068,27,Male,Bachelors Degree,Front end Developer,2,65000
2069,43,Female,PhD,Senior Project Engineer,14,190000
2070,34,Male,Masters Degree,Back end Developer,8,140000
2071,46,Male,PhD,Software Engineer Manager,16,185000
2072,33,Female,Bachelors Degree,Full Stack Engineer,7,130000
2073,30,Female,Masters Degree,Front end Developer,5,105000
2074,50,Male,PhD,Senior Project Engineer,19,200000
2075,30,Male,Bachelors Degree,Back end Developer,5,100000
2076,42,Male,Masters Degree,Software Engineer Manager,13,170000
2077,33,Female,Bachelors Degree,Full Stack Engineer,6,115000
2078,45,Male,PhD,Senior Project Engineer,16,185000
2079,29,Female,Bachelors Degree,Front end Developer,4,90000
2080,39,Female,Masters Degree,Software Engineer Manager,12,160000
2081,27,Male,Bachelors Degree,Back end Developer,3,80000
2082,49,Male,PhD,Senior Project Engineer,17,195000
2083,32,Female,Masters Degree,Full Stack Engineer,6,115000
2084,36,Male,Bachelors Degree,Software Engineer Manager,8,135000
2085,27,Male,Bachelors Degree,Front end Developer,2,65000
2086,43,Female,PhD,Senior Project Engineer,14,190000
2087,34,Male,Masters Degree,Back end Developer,8,140000
2088,46,Male,PhD,Software Engineer Manager,16,185000
2089,33,Female,Bachelors Degree,Full Stack Engineer,7,130000
2090,30,Female,Masters Degree,Front end Developer,5,105000
2091,50,Male,PhD,Senior Project Engineer,19,200000
2092,30,Male,Bachelors Degree,Back end Developer,5,100000
2093,42,Male,Masters Degree,Software Engineer Manager,13,170000
2094,33,Female,Bachelors Degree,Full Stack Engineer,6,115000
2095,45,Male,PhD,Senior Project Engineer,16,185000
2096,29,Female,Bachelors Degree,Front end Developer,4,90000
2097,39,Female,Masters Degree,Software Engineer Manager,12,160000
2098,27,Male,Bachelors Degree,Back end Developer,3,80000
2099,49,Male,PhD,Senior Project Engineer,17,195000
2100,32,Female,Masters Degree,Full Stack Engineer,6,115000
2101,36,Male,Bachelors Degree,Software Engineer Manager,8,135000
2102,27,Male,Bachelors Degree,Front end Developer,2,65000
2103,43,Female,PhD,Senior Project Engineer,14,190000
2104,34,Male,Masters Degree,Back end Developer,8,140000
2105,46,Male,PhD,Software Engineer Manager,16,185000
2106,33,Female,Bachelors Degree,Full Stack Engineer,7,130000
2107,30,Female,Masters Degree,Front end Developer,5,105000
2108,50,Male,PhD,Senior Project Engineer,19,200000
2109,30,Male,Bachelors Degree,Back end Developer,5,100000
2110,42,Male,Masters Degree,Software Engineer Manager,13,170000
2111,33,Female,Bachelors Degree,Full Stack Engineer,6,115000
2112,45,Male,PhD,Senior Project Engineer,16,185000
2113,29,Female,Bachelors Degree,Front end Developer,4,90000
2114,39,Female,Masters Degree,Software Engineer Manager,12,160000
2115,27,Male,Bachelors Degree,Back end Developer,3,80000
2116,49,Male,PhD,Senior Project Engineer,17,195000
2117,32,Female,Masters Degree,Full Stack Engineer,6,115000
2118,36,Male,Bachelors Degree,Software Engineer Manager,8,135000
2119,27,Male,Bachelors Degree,Front end Developer,2,65000
2120,43,Female,PhD,Senior Project Engineer,14,190000
2121,34,Male,Masters Degree,Back end Developer,8,140000
2122,46,Male,PhD,Software Engineer Manager,16,185000
2123,33,Female,Bachelors Degree,Full Stack Engineer,7,130000
2124,30,Female,Masters Degree,Front end Developer,5,105000
2125,50,Male,PhD,Senior Project Engineer,19,200000
2126,30,Male,Bachelors Degree,Back end Developer,5,100000
2127,42,Male,Masters Degree,Software Engineer Manager,13,170000
2128,33,Female,Bachelors Degree,Full Stack Engineer,6,115000
2129,45,Male,PhD,Senior Project Engineer,16,185000
2130,29,Female,Bachelors Degree,Front end Developer,4,90000
2131,31,Male,Masters Degree,Software Engineer Manager,8,130000
2132,27,Male,Bachelors Degree,Back end Developer,3,80000
2133,43,Male,PhD,Senior Project Engineer,15,180000
2134,35,Female,Masters Degree,Full Stack Engineer,8,140000
2135,42,Male,Bachelors Degree,Software Engineer Manager,12,160000
2136,28,Female,Bachelors Degree,Front end Developer,2,55000
2137,44,Female,PhD,Senior Project Engineer,16,190000
2138,32,Male,Masters Degree,Back end Developer,7,120000
2139,48,Male,PhD,Software Engineer Manager,18,200000
2140,30,Female,Bachelors Degree,Full Stack Engineer,5,100000
2141,34,Male,Masters Degree,Front end Developer,9,150000
2142,37,Female,Bachelors Degree,Software Engineer Manager,11,170000
2143,26,Male,Bachelors Degree,Back end Developer,2,65000
2144,49,Female,PhD,Senior Project Engineer,19,210000
2145,29,Male,Bachelors Degree,Full Stack Engineer,4,90000
2146,41,Male,Masters Degree,Software Engineer Manager,14,180000
2147,31,Female,Bachelors Degree,Front end Developer,6,110000
2148,37,Male,Masters Degree,Software Engineer Manager,10,150000
2149,27,Male,Bachelors Degree,Back end Developer,3,80000
2150,50,Male,PhD,Senior Project Engineer,18,195000
2151,32,Female,Masters Degree,Full Stack Engineer,6,115000
2152,36,Male,Bachelors Degree,Software Engineer Manager,8,135000
2153,27,Male,Bachelors Degree,Front end Developer,2,65000
2154,43,Female,PhD,Senior Project Engineer,14,190000
2155,34,Male,Masters Degree,Back end Developer,8,140000
2156,46,Male,PhD,Software Engineer Manager,16,185000
2157,33,Female,Bachelors Degree,Full Stack Engineer,7,130000
2158,30,Female,Masters Degree,Front end Developer,5,105000
2159,50,Male,PhD,Senior Project Engineer,19,200000
2160,30,Male,Bachelors Degree,Back end Developer,5,100000
2161,42,Male,Masters Degree,Software Engineer Manager,13,170000
2162,33,Female,Bachelors Degree,Full Stack Engineer,6,115000
2163,45,Male,PhD,Senior Project Engineer,16,185000
2164,29,Female,Bachelors Degree,Front end Developer,4,90000
2165,39,Female,Masters Degree,Software Engineer Manager,12,160000
2166,27,Male,Bachelors Degree,Back end Developer,3,80000
2167,49,Male,PhD,Senior Project Engineer,17,195000
2168,32,Female,Masters Degree,Full Stack Engineer,6,115000
2169,36,Male,Bachelors Degree,Software Engineer Manager,8,135000
2170,27,Male,Bachelors Degree,Front end Developer,2,65000
2171,43,Female,PhD,Senior Project Engineer,14,190000
2172,34,Male,Masters Degree,Back end Developer,8,140000
2173,46,Male,PhD,Software Engineer Manager,16,185000
2174,33,Female,Bachelors Degree,Full Stack Engineer,7,130000
2175,30,Female,Masters Degree,Front end Developer,5,105000
2176,50,Male,PhD,Senior Project Engineer,19,200000
2177,30,Male,Bachelors Degree,Back end Developer,5,100000
2178,42,Male,Masters Degree,Software Engineer Manager,13,170000
2179,33,Female,Bachelors Degree,Full Stack Engineer,6,115000
2180,45,Male,PhD,Senior Project Engineer,16,185000
2181,29,Female,Bachelors Degree,Front end Developer,4,90000
2182,39,Female,Masters Degree,Software Engineer Manager,12,160000
2183,27,Male,Bachelors Degree,Back end Developer,3,80000
2184,49,Male,PhD,Senior Project Engineer,17,195000
2185,32,Female,Masters Degree,Full Stack Engineer,6,115000
2186,36,Male,Bachelors Degree,Software Engineer Manager,8,135000
2187,27,Male,Bachelors Degree,Front end Developer,2,65000
2188,43,Female,PhD,Senior Project Engineer,14,190000
2189,34,Male,Masters Degree,Back end Developer,8,140000
2190,46,Female,PhD,Senior Project Engineer,16,185000
2191,33,Male,Bachelors Degree,Full Stack Engineer,7,130000
2192,30,Male,Masters Degree,Front end Developer,5,105000
2193,50,Male,PhD,Software Engineer Manager,20,210000
2194,31,Male,Bachelors Degree,Back end Developer,6,95000
2195,39,Female,Masters Degree,Software Engineer Manager,11,170000
2196,27,Male,Bachelors Degree,Front end Developer,2,65000
2197,44,Female,PhD,Senior Project Engineer,16,190000
2198,32,Male,Masters Degree,Back end Developer,7,120000
2199,48,Male,PhD,Software Engineer Manager,19,200000
2200,30,Female,Bachelors Degree,Full Stack Engineer,5,100000
2201,34,Male,Masters Degree,Front end Developer,9,150000
2202,37,Female,Bachelors Degree,Software Engineer Manager,11,170000
2203,26,Male,Bachelors Degree,Back end Developer,2,65000
2204,49,Female,PhD,Senior Project Engineer,19,210000
2205,29,Male,Bachelors Degree,Full Stack Engineer,4,90000
2206,41,Male,Masters Degree,Software Engineer Manager,14,180000
2207,31,Female,Bachelors Degree,Front end Developer,6,110000
2208,37,Male,Masters Degree,Software Engineer Manager,10,150000
2209,27,Male,Bachelors Degree,Back end Developer,3,80000
2210,50,Male,PhD,Senior Project Engineer,18,195000
2211,32,Female,Masters Degree,Full Stack Engineer,6,115000
2212,36,Male,Bachelors Degree,Software Engineer Manager,8,135000
2213,27,Male,Bachelors Degree,Front end Developer,2,65000
2214,43,Female,PhD,Senior Project Engineer,14,190000
2215,34,Male,Masters Degree,Back end Developer,8,140000
2216,46,Male,PhD,Software Engineer Manager,16,185000
2217,33,Female,Bachelors Degree,Full Stack Engineer,7,130000
2218,30,Female,Masters Degree,Front end Developer,5,105000
2219,50,Male,PhD,Senior Project Engineer,19,200000
2220,30,Male,Bachelors Degree,Back end Developer,5,100000
2221,42,Male,Masters Degree,Software Engineer Manager,13,170000
2222,33,Female,Bachelors Degree,Full Stack Engineer,6,115000
2223,45,Male,PhD,Senior Project Engineer,16,185000
2224,29,Female,Bachelors Degree,Front end Developer,4,90000
2225,39,Female,Masters Degree,Software Engineer Manager,12,160000
2226,27,Male,Bachelors Degree,Back end Developer,3,80000
2227,49,Male,PhD,Senior Project Engineer,17,195000
2228,32,Female,Masters Degree,Full Stack Engineer,6,115000
2229,36,Male,Bachelors Degree,Software Engineer Manager,8,135000
2230,27,Male,Bachelors Degree,Front end Developer,2,65000
2231,43,Female,PhD,Senior Project Engineer,14,190000
2232,34,Male,Masters Degree,Back end Developer,8,140000
2233,46,Male,PhD,Software Engineer Manager,16,185000
2234,33,Female,Bachelors Degree,Full Stack Engineer,7,130000
2235,30,Female,Masters Degree,Front end Developer,5,105000
2236,50,Male,PhD,Senior Project Engineer,19,200000
2237,30,Male,Bachelors Degree,Back end Developer,5,100000
2238,42,Male,Masters Degree,Software Engineer Manager,13,170000
2239,33,Female,Bachelors Degree,Full Stack Engineer,6,115000
2240,45,Male,PhD,Senior Project Engineer,16,185000
2241,29,Female,Bachelors Degree,Front end Developer,4,90000
2242,39,Female,Masters Degree,Software Engineer Manager,12,160000
2243,27,Male,Bachelors Degree,Back end Developer,3,80000
2244,49,Male,PhD,Senior Project Engineer,17,195000
2245,32,Female,Masters Degree,Full Stack Engineer,6,115000
2246,36,Male,Bachelors Degree,Software Engineer Manager,8,135000
2247,27,Male,Bachelors Degree,Front end Developer,2,65000
2248,43,Female,PhD,Senior Project Engineer,14,190000
2249,34,Male,Masters Degree,Back end Developer,8,140000
2250,28,Male,Bachelors Degree,Software Engineer,4,75000
2251,33,Female,Masters Degree,Data Analyst,7,95000
2252,22,Male,Bachelors Degree,Front End Developer,1,50000
2253,44,Male,PhD,Senior Data Scientist,15,180000
2254,29,Female,Bachelors Degree,Software Developer,3,65000
2255,31,Male,Masters Degree,Product Manager,6,120000
2256,25,Female,Masters Degree,Software Engineer,2,60000
2257,38,Male,Bachelors Degree,Data Scientist,10,150000
2258,27,Male,Bachelors Degree,Software Engineer,3,70000
2259,46,Female,PhD,Director of Data Science,20,220000
2260,33,Male,Masters Degree,Data Analyst,8,100000
2261,24,Female,Bachelors Degree,Software Developer,2,55000
2262,36,Male,PhD,Senior Data Scientist,12,170000
2263,30,Female,Bachelors Degree,Software Engineer,5,90000
2264,29,Male,Bachelors Degree,Front End Developer,4,80000
2265,42,Male,Masters Degree,Product Manager,14,180000
2266,26,Male,Bachelors Degree,Software Developer,2,60000
2267,35,Female,Masters Degree,Data Analyst,9,120000
2268,27,Female,Bachelors Degree,Software Engineer,3,70000
2269,48,Male,PhD,Director of Data Science,18,210000
2270,34,Male,Masters Degree,Data Scientist,9,140000
2271,23,Female,Bachelors Degree,Software Engineer,1,50000
2272,32,Male,Masters Degree,Product Manager,7,110000
2273,25,Female,Masters Degree,Software Engineer,2,60000
2274,37,Male,Bachelors Degree,Data Analyst,11,160000
2275,28,Male,Bachelors Degree,Software Engineer,4,75000
2276,41,Female,PhD,Director of Data Science,16,200000
2277,34,Male,Masters Degree,Data Analyst,8,100000
2278,24,Female,Bachelors Degree,Software Developer,2,55000
2279,36,Male,PhD,Senior Data Scientist,12,170000
2280,30,Female,Bachelors Degree,Software Engineer,5,90000
2281,29,Male,Bachelors Degree,Front End Developer,4,80000
2282,42,Male,Masters Degree,Product Manager,14,180000
2283,26,Male,Bachelors Degree,Software Developer,2,60000
2284,35,Female,Masters Degree,Data Analyst,9,120000
2285,27,Female,Bachelors Degree,Software Engineer,3,70000
2286,48,Male,PhD,Director of Data Science,18,210000
2287,34,Male,Masters Degree,Data Scientist,9,140000
2288,23,Female,Bachelors Degree,Software Engineer,1,50000
2289,32,Male,Masters Degree,Product Manager,7,110000
2290,25,Female,Masters Degree,Software Engineer,2,60000
2291,37,Male,Bachelors Degree,Data Analyst,11,160000
2292,28,Male,Bachelors Degree,Software Engineer,4,75000
2293,41,Female,PhD,Director of Data Science,16,200000
2294,34,Male,Masters Degree,Data Analyst,8,100000
2295,24,Female,Bachelors Degree,Software Developer,2,55000
2296,36,Male,PhD,Senior Data Scientist,12,170000
2297,30,Female,Bachelors Degree,Software Engineer,5,90000
2298,29,Male,Bachelors Degree,Front End Developer,4,80000
2299,42,Male,Masters Degree,Product Manager,14,180000
2300,26,Male,Bachelors Degree,Software Developer,2,60000
2301,35,Female,Masters Degree,Data Analyst,9,120000
2302,27,Female,Bachelors Degree,Software Engineer,3,70000
2303,48,Male,PhD,Director of Data Science,18,210000
2304,34,Male,Masters Degree,Data Scientist,9,140000
2305,23,Female,Bachelors Degree,Software Engineer,1,50000
2306,32,Male,Masters Degree,Product Manager,7,110000
2307,25,Female,Masters Degree,Software Engineer,2,60000
2308,37,Male,Bachelors Degree,Data Analyst,11,160000
2309,28,Male,Bachelors Degree,Software Engineer,4,75000
2310,41,Female,PhD,Director of Data Science,16,200000
2311,34,Male,Masters Degree,Data Analyst,8,100000
2312,24,Female,Bachelors Degree,Software Developer,2,55000
2313,36,Male,PhD,Senior Data Scientist,12,170000
2314,30,Female,Bachelors Degree,Software Engineer,5,90000
2315,29,Male,Bachelors Degree,Front End Developer,4,80000
2316,42,Male,Masters Degree,Product Manager,14,180000
2317,26,Male,Bachelors Degree,Software Developer,2,60000
2318,35,Female,Masters Degree,Data Analyst,9,120000
2319,27,Female,Bachelors Degree,Software Engineer,3,70000
2320,48,Male,PhD,Director of Data Science,18,210000
2321,34,Male,Masters Degree,Data Scientist,9,140000
2322,23,Female,Bachelors Degree,Software Engineer,1,50000
2323,32,Male,Masters Degree,Product Manager,7,110000
2324,25,Female,Masters Degree,Software Engineer,2,60000
2325,37,Male,Bachelors Degree,Data Analyst,11,160000
2326,28,Male,Bachelors Degree,Software Engineer,4,75000
2327,41,Female,PhD,Director of Data Science,16,200000
2328,34,Male,Masters Degree,Data Analyst,8,100000
2329,24,Female,Bachelors Degree,Software Developer,2,55000
2330,36,Male,PhD,Senior Data Scientist,12,170000
2331,30,Female,Bachelors Degree,Software Engineer,5,90000
2332,29,Male,Bachelors Degree,Front End Developer,4,80000
2333,42,Male,Masters Degree,Product Manager,14,180000
2334,26,Male,Bachelors Degree,Software Developer,2,60000
2335,35,Female,Masters Degree,Data Analyst,9,120000
2336,27,Female,Bachelors Degree,Software Engineer,3,70000
2337,48,Male,PhD,Director of Data Science,18,210000
2338,34,Male,Masters Degree,Data Scientist,9,140000
2339,23,Female,Bachelors Degree,Software Engineer,1,50000
2340,32,Male,Masters Degree,Product Manager,7,110000
2341,25,Female,Masters Degree,Software Engineer,2,60000
2342,37,Male,Bachelors Degree,Data Analyst,11,160000
2343,28,Male,Bachelors Degree,Software Engineer,4,75000
2344,41,Female,PhD,Director of Data Science,16,200000
2345,34,Male,Masters Degree,Data Analyst,8,100000
2346,24,Female,Bachelors Degree,Software Developer,2,55000
2347,36,Male,PhD,Senior Data Scientist,12,170000
2348,30,Female,Bachelors Degree,Software Engineer,5,90000
2349,29,Male,Bachelors Degree,Front End Developer,4,80000
2350,42,Male,Masters Degree,Product Manager,14,180000
2351,26,Male,Bachelors Degree,Software Developer,2,60000
2352,35,Female,Masters Degree,Data Analyst,9,120000
2353,27,Female,Bachelors Degree,Software Engineer,3,70000
2354,48,Male,PhD,Director of Data Science,18,210000
2355,34,Male,Masters Degree,Data Scientist,9,140000
2356,23,Female,Bachelors Degree,Software Engineer,1,50000
2357,32,Male,Masters Degree,Product Manager,7,110000
2358,25,Female,Masters Degree,Software Engineer,2,60000
2359,37,Male,Bachelors Degree,Data Analyst,11,160000
2360,28,Male,Bachelors Degree,Software Engineer,4,75000
2361,41,Female,PhD,Director of Data Science,16,200000
2362,34,Male,Masters Degree,Data Analyst,8,100000
2363,24,Female,Bachelors Degree,Software Developer,2,55000
2364,36,Male,PhD,Senior Data Scientist,12,170000
2365,30,Female,Bachelors Degree,Software Engineer,5,90000
2366,29,Male,Bachelors Degree,Front End Developer,4,80000
2367,42,Male,Masters Degree,Product Manager,14,180000
2368,26,Male,Bachelors Degree,Software Developer,2,60000
2369,35,Female,Masters Degree,Data Analyst,9,120000
2370,27,Female,Bachelors Degree,Software Engineer,3,70000
2371,48,Male,PhD,Director of Data Science,18,210000
2372,34,Male,Masters Degree,Data Scientist,9,140000
2373,23,Female,Bachelors Degree,Software Engineer,1,50000
2374,34,Female,Bachelors Degree,Full Stack Engineer,8,122485
2375,25,Male,PhD,Software Engineer Manager,12,169159
2376,43,Male,Masters Degree,Senior Software Engineer,21,187081
2377,53,Other,High School,Senior Project Engineer,31,166109
2378,27,Female,Masters Degree,Front end Developer,5,78354
2379,25,Male,Bachelors Degree,Back end Developer,2,90249
2380,29,Female,Masters Degree,Senior Software Engineer,6,132720
2381,52,Male,PhD,Software Engineer Manager,23,161568
2382,41,Male,Masters Degree,Front end Developer,13,127346
2383,49,Female,Bachelors Degree,Back end Developer,19,120177
2384,25,Other,High School,Full Stack Engineer,2,69032
2385,35,Male,Masters Degree,Senior Project Engineer,8,101332
2386,57,Female,PhD,Full Stack Engineer,30,121450
2387,35,Female,Bachelors Degree,Senior Project Engineer,12,166375
2388,43,Male,Masters Degree,Senior Software Engineer,21,185119
2389,37,Female,Bachelors Degree,Full Stack Engineer,10,149217
2390,50,Male,Masters Degree,Software Engineer Manager,21,166512
2391,52,Female,Masters Degree,Senior Software Engineer,28,186963
2392,26,Male,Bachelors Degree,Back end Developer,3,75072
2393,34,Female,Masters Degree,Full Stack Engineer,10,163398
2394,30,Male,High School,Senior Project Engineer,11,103947
2395,60,Female,PhD,Software Engineer Manager,33,179180
2396,50,Male,Bachelors Degree,Back end Developer,23,175966
2397,58,Male,Masters Degree,Senior Software Engineer,27,190004
2398,35,Female,Masters Degree,Full Stack Engineer,10,152039
2399,28,Male,Masters Degree,Front end Developer,5,76742
2400,57,Female,PhD,Software Engineer Manager,33,191790
2401,46,Female,Bachelors Degree,Senior Software Engineer,20,139398
2402,28,Male,High School,Back end Developer,7,95845
2403,34,Male,Masters Degree,Full Stack Engineer,12,160976
2404,33,Female,Masters Degree,Senior Project Engineer,9,126753
2405,37,Other,Masters Degree,Full Stack Engineer,14,161393
2406,33,Male,Masters Degree,Senior Software Engineer,8,139817
2407,53,Male,PhD,Software Engineer Manager,25,181714
2408,35,Female,Bachelors Degree,Back end Developer,10,114776
2409,30,Male,Masters Degree,Full Stack Engineer,6,105725
2410,24,Female,High School,Senior Project Engineer,1,52731
2411,36,Male,Masters Degree,Front end Developer,8,106492
2412,27,Female,Bachelors Degree,Full Stack Engineer,4,73895
2413,23,Male,PhD,Software Engineer Manager,1,119836
2414,28,Female,Masters Degree,Senior Software Engineer,5,99747
2415,52,Male,Bachelors Degree,Back end Developer,25,168287
2416,28,Female,Masters Degree,Full Stack Engineer,7,115920
2417,32,Male,Masters Degree,Senior Project Engineer,11,128078
2418,24,Female,Bachelors Degree,Front end Developer,1,51265
2419,43,Male,High School,Senior Software Engineer,22,165919
2420,60,Female,PhD,Software Engineer Manager,34,188651
2421,24,Male,Masters Degree,Back end Developer,0,55538
2422,55,Male,Bachelors Degree,Senior Project Engineer,28,193964
2423,29,Female,Masters Degree,Full Stack Engineer,4,104702
2424,44,Male,PhD,Software Engineer Manager,19,172955
2425,40,Female,Masters Degree,Senior Software Engineer,16,138032
2426,27,Male,Bachelors Degree,Back end Developer,4,82683
2427,43,Male,Masters Degree,Full Stack Engineer,17,155414
2428,49,Female,High School,Senior Project Engineer,25,154207
2429,30,Male,Masters Degree,Front end Developer,8,107895
2430,42,Female,Bachelors Degree,Senior Software Engineer,18,148446
2431,26,Male,Masters Degree,Full Stack Engineer,4,102859
2432,41,Female,PhD,Software Engineer Manager,13,138662
2433,46,Male,Bachelors Degree,Senior Project Engineer,23,181699
2434,57,Female,Masters Degree,Full Stack Engineer,33,188232
2435,22,Female,High School,Back end Developer,0,51832
2436,54,Male,PhD,Software Engineer Manager,28,188484
2437,42,Female,Masters Degree,Senior Software Engineer,16,138286
2438,49,Male,Bachelors Degree,Full Stack Engineer,22,181132
2439,27,Female,Masters Degree,Back end Developer,4,73938
2440,36,Male,Bachelors Degree,Senior Project Engineer,14,119224
2441,31,Female,Masters Degree,Full Stack Engineer,6,101186
2442,39,Male,Masters Degree,Software Engineer Manager,14,142360
2443,41,Female,Bachelors Degree,Senior Project Engineer,20,151315
2444,48,Male,PhD,Full Stack Engineer,23,181021
2445,39,Female,Masters Degree,Senior Software Engineer,15,134641
2446,48,Male,Bachelors Degree,Front end Developer,23,173851
2447,31,Other,High School,Back end Developer,8,104127
2448,47,Male,Masters Degree,Senior Project Engineer,25,178859
2449,29,Female,PhD,Full Stack Engineer,5,98568
2450,32,Male,Bachelors Degree,Software Engineer Manager,9,104661
2451,38,Female,Masters Degree,Senior Software Engineer,13,134858
2452,34,Male,Bachelors Degree,Back end Developer,10,94502
2453,23,Other,High School,Front end Developer,2,62852
2454,34,Female,Bachelors Degree,Full Stack Engineer,8,122485
2455,25,Male,PhD,Software Engineer Manager,12,169159
2456,43,Male,Masters Degree,Senior Software Engineer,21,187081
2457,53,Other,High School,Senior Project Engineer,31,166109
2458,27,Female,Masters Degree,Front end Developer,5,78354
2459,25,Male,Bachelors Degree,Back end Developer,2,90249
2460,29,Female,Masters Degree,Senior Software Engineer,6,132720
2461,52,Male,PhD,Software Engineer Manager,23,161568
2462,41,Male,Masters Degree,Front end Developer,13,127346
2463,49,Female,Bachelors Degree,Back end Developer,19,120177
2464,25,Other,High School,Full Stack Engineer,2,69032
2465,35,Male,Masters Degree,Senior Project Engineer,8,101332
2466,57,Female,PhD,Full Stack Engineer,30,121450
2467,35,Female,Bachelors Degree,Senior Project Engineer,12,166375
2468,43,Male,Masters Degree,Senior Software Engineer,21,185119
2469,37,Female,Bachelors Degree,Full Stack Engineer,10,149217
2470,50,Male,Masters Degree,Software Engineer Manager,21,166512
2471,52,Female,Masters Degree,Senior Software Engineer,28,186963
2472,26,Male,Bachelors Degree,Back end Developer,3,75072
2473,34,Female,Masters Degree,Full Stack Engineer,10,163398
2474,30,Male,High School,Senior Project Engineer,11,103947
2475,60,Female,PhD,Software Engineer Manager,33,179180
2476,50,Male,Bachelors Degree,Back end Developer,23,175966
2477,58,Male,Masters Degree,Senior Software Engineer,27,190004
