id,age, gender, education_level,role_name, years_of_experience, basic_salary,currency
1307,58,Female,PhD,Software Engineer Manager,17,195000,gbp
1308,56,Male,PhD,Software Engineer Manager,17,195000,gbp
1309,23,Female,Bachelors,Back end Developer,1,55000,gbp
1310,49,Male,PhD,Software Engineer Manager,15,185000,gbp
1311,32,Female,Masters,Full Stack Engineer,5,120000,gbp
1312,52,Female,PhD,Software Engineer Manager,16,190000,gbp
1313,32,Female,Masters,Full Stack Engineer,6,130000,gbp
1314,50,Female,PhD,Software Engineer Manager,16,190000,gbp
1315,32,Male,Masters,Back end Developer,6,130000,gbp
1316,34,Male,Masters,Full Stack Engineer,7,140000,gbp
1317,28,Male,Bachelors,Front end Developer,2,70000,gbp
1318,44,Male,Masters,Senior Project Engineer,11,170000,gbp
1319,55,Male,PhD,Software Engineer Manager,17,190000,gbp
1320,27,Male,Bachelors,Front end Developer,3,80000,gbp
1321,46,Male,PhD,Software Engineer Manager,14,180000,gbp
1322,27,Female,Masters,Back end Developer,2,70000,gbp
1323,45,Male,PhD,Senior Project Engineer,14,185000,gbp
1324,23,Female,Bachelors,Front end Developer,1,55000,gbp
1325,36,Female,Masters,Full Stack Engineer,8,140000,gbp
1326,47,Female,PhD,Senior Software Engineer,14,170000,gbp
1327,33,Male,Masters,Back end Developer,6,130000,gbp
1328,43,Male,PhD,Software Engineer Manager,13,180000,gbp
1329,30,Male,Bachelors,Back end Developer,4,95000,gbp
1330,28,Female,Bachelors,Front end Developer,2,70000,gbp
1331,43,Male,Masters,Senior Project Engineer,12,165000,gbp
1332,43,Male,PhD,Senior Project Engineer,13,185000,gbp
1333,36,Male,Masters,Senior Software Engineer,7,140000,gbp
1334,24,Male,Bachelors,Front end Developer,1,60000,gbp
1335,28,Female,Bachelors,Front end Developer,3,80000,gbp
1336,37,Male,Masters,Senior Software Engineer,9,150000,gbp
1337,41,Female,PhD,Software Engineer Manager,14,185000,gbp
1338,26,Male,Bachelors,Front end Developer,2,70000,gbp
1339,28,Female,Masters,Back end Developer,3,90000,gbp
1340,43,Male,PhD,Senior Software Engineer,12,170000,gbp
1341,42,Male,PhD,Senior Software Engineer,14,170000,gbp
1342,48,Male,PhD,Senior Project Engineer,16,190000,gbp
1343,27,Female,Masters,Back end Developer,2,70000,gbp
1344,49,Male,PhD,Software Engineer Manager,15,185000,gbp
1345,44,Male,PhD,Senior Project Engineer,12,170000,gbp
1346,27,Female,Masters,Full Stack Engineer,3,100000,gbp
1347,37,Male,Masters,Senior Software Engineer,10,155000,gbp
1348,44,Female,Masters,Senior Project Engineer,12,170000,gbp
1349,56,Male,PhD,Software Engineer Manager,18,195000,gbp
1350,49,Male,PhD,Software Engineer Manager,15,185000,gbp
1351,27,Male,Bachelors,Front end Developer,2,70000,gbp
1352,48,Male,PhD,Senior Project Engineer,16,190000,gbp
1353,31,Male,Masters,Full Stack Engineer,7,140000,gbp
1354,25,Male,Bachelors,Front end Developer,1,60000,gbp
1355,50,Male,PhD,Software Engineer Manager,16,190000,gbp
1356,46,Male,PhD,Software Engineer Manager,14,180000,gbp
1357,33,Male,Masters,Full Stack Engineer,6,130000,gbp
1358,42,Male,PhD,Senior Software Engineer,14,170000,gbp
1359,41,Male,PhD,Senior Project Engineer,12,165000,gbp
1360,43,Male,PhD,Senior Project Engineer,13,185000,gbp
1361,32,Male,Masters,Back end Developer,6,130000,gbp
1362,24,Male,Bachelors,Front end Developer,1,60000,gbp
1363,44,Female,Masters,Senior Software Engineer,11,170000,gbp
1364,36,Male,Masters,Senior Software Engineer,7,140000,gbp
1365,28,Female,Masters,Full Stack Engineer,4,110000,gbp
1366,28,Male,Bachelors,Front end Developer,2,70000,gbp
1367,37,Male,Masters,Senior Software Engineer,9,145000,gbp
1368,54,Male,PhD,Software Engineer Manager,16,190000,gbp
1369,58,Male,PhD,Software Engineer Manager,17,200000,gbp
1370,27,Male,Bachelors,Front end Developer,3,80000,gbp
1371,30,Male,Bachelors,Back end Developer,4,95000,gbp
1372,27,Female,Masters,Full Stack Engineer,3,100000,gbp
1373,54,Male,PhD,Software Engineer Manager,17,195000,gbp
1374,49,Male,PhD,Software Engineer Manager,15,185000,gbp
1375,38,Male,Masters,Senior Software Engineer,10,155000,gbp
1376,54,Male,PhD,Software Engineer Manager,18,195000,gbp
1377,31,Male,Masters,Senior Project Engineer,6,125000,gbp
1378,56,Male,PhD,Software Engineer Manager,17,195000,gbp
1379,31,Male,Masters,Senior Software Engineer,7,140000,gbp
1380,42,Male,PhD,Senior Software Engineer,14,170000,gbp
1381,44,Male,Masters,Senior Project Engineer,11,170000,gbp
1382,37,Male,Masters,Senior Software Engineer,9,150000,gbp
1383,24,Female,Bachelors,Back end Developer,1,60000,gbp
1384,27,Male,Bachelors,Front end Developer,2,70000,gbp
1385,42,Male,PhD,Senior Software Engineer,14,170000,gbp
1386,24,Female,Bachelors,Front end Developer,1,55000,gbp
1387,28,Female,Bachelors,Front end Developer,3,80000,gbp
1388,43,Male,PhD,Senior Project Engineer,13,185000,gbp
1389,31,Male,Masters,Full Stack Engineer,7,140000,gbp
1390,43,Male,PhD,Software Engineer Manager,13,180000,gbp
1391,27,Female,Masters,Back end Developer,2,70000,gbp
1392,49,Male,PhD,Software Engineer Manager,15,185000,gbp
1393,48,Male,PhD,Senior Project Engineer,16,190000,gbp
1394,30,Female,Masters,Back end Developer,6,130000,gbp
1395,28,Female,Masters,Full Stack Engineer,4,110000,gbp
1396,46,Male,PhD,Software Engineer Manager,14,180000,gbp
1397,37,Male,Masters,Senior Software Engineer,9,145000,gbp
1398,42,Male,PhD,Senior Software Engineer,14,170000,gbp
1399,43,Male,PhD,Senior Project Engineer,12,165000,gbp
1400,31,Male,Masters,Senior Software Engineer,7,140000,gbp
1401,56,Male,PhD,Software Engineer Manager,17,195000,gbp
1402,37,Male,Masters,Senior Software Engineer,10,155000,gbp
1403,54,Male,PhD,Software Engineer Manager,16,190000,gbp
1404,58,Male,PhD,Software Engineer Manager,17,195000,gbp
1405,33,Male,Masters,Back end Developer,6,130000,gbp
1406,29,Female,Bachelors,Front end Developer,3,85000,gbp
1407,52,Male,PhD,Software Engineer Manager,18,200000,gbp
1408,36,Male,Masters,Full Stack Engineer,8,140000,gbp
1409,26,Male,Bachelors,Back end Developer,2,65000,gbp
1410,47,Male,PhD,Senior Project Engineer,16,190000,gbp
1411,32,Male,Masters,Full Stack Engineer,6,120000,gbp
1412,29,Male,Bachelors,Front end Developer,3,80000,gbp
1413,28,Female,Masters,Back end Developer,3,90000,gbp
1414,54,Male,PhD,Software Engineer Manager,16,190000,gbp
1415,57,Male,PhD,Software Engineer Manager,18,200000,gbp
1416,51,Male,PhD,Software Engineer Manager,16,190000,gbp
1417,28,Female,Masters,Full Stack Engineer,4,110000,gbp
1418,46,Male,PhD,Software Engineer Manager,14,180000,gbp
1419,27,Female,Masters,Back end Developer,2,65000,gbp
1420,45,Male,PhD,Senior Project Engineer,14,185000,gbp
1421,23,Female,Bachelors,Front end Developer,1,55000,gbp
1422,36,Male,Masters,Full Stack Engineer,7,130000,gbp
1423,48,Male,PhD,Senior Project Engineer,16,190000,gbp
1424,33,Female,Masters,Full Stack Engineer,5,120000,gbp
1425,38,Female,Masters,Back end Developer,10,155000,gbp
1426,51,Male,PhD,Software Engineer Manager,16,190000,gbp
1427,27,Female,Masters,Full Stack Engineer,3,100000,gbp
1428,37,Male,Masters,Senior Software Engineer,9,150000,gbp
1429,44,Female,Masters,Senior Project Engineer,12,170000,gbp
1430,27,Male,Bachelors,Front end Developer,3,80000,gbp
1431,38,Male,Masters,Senior Software Engineer,10,155000,gbp
1432,54,Male,PhD,Software Engineer Manager,17,195000,gbp
1433,49,Male,PhD,Software Engineer Manager,15,185000,gbp
1434,27,Male,Bachelors,Front end Developer,2,70000,gbp
1435,48,Male,PhD,Senior Project Engineer,16,190000,gbp
1436,31,Male,Masters,Full Stack Engineer,7,140000,gbp
1437,25,Male,Bachelors,Front end Developer,1,55000,gbp
1438,50,Male,PhD,Software Engineer Manager,16,190000,gbp
1439,46,Male,PhD,Software Engineer Manager,14,180000,gbp
1440,33,Male,Masters,Full Stack Engineer,6,130000,gbp
1441,42,Male,PhD,Senior Software Engineer,14,170000,gbp
1442,41,Male,PhD,Senior Project Engineer,12,165000,gbp
1443,43,Male,PhD,Senior Project Engineer,13,185000,gbp
1444,32,Male,Masters,Back end Developer,6,130000,gbp
1445,24,Male,Bachelors,Front end Developer,1,60000,gbp
1446,44,Female,Masters,Senior Software Engineer,11,170000,gbp
1447,36,Male,Masters,Senior Software Engineer,7,140000,gbp
1448,28,Female,Masters,Full Stack Engineer,4,110000,gbp
1449,28,Male,Bachelors,Front end Developer,2,70000,gbp
1450,37,Male,Masters,Senior Software Engineer,9,145000,gbp
1451,54,Male,PhD,Software Engineer Manager,16,190000,gbp
1452,58,Male,PhD,Software Engineer Manager,17,200000,gbp
1453,27,Male,Bachelors,Front end Developer,3,80000,gbp
1454,30,Male,Bachelors,Back end Developer,4,95000,gbp
1455,27,Female,Masters,Full Stack Engineer,3,100000,gbp
1456,54,Male,PhD,Software Engineer Manager,17,195000,gbp
1457,49,Male,PhD,Software Engineer Manager,15,185000,gbp
1458,38,Male,Masters,Senior Software Engineer,10,155000,gbp
1459,54,Male,PhD,Software Engineer Manager,18,195000,gbp
1460,31,Male,Masters,Senior Project Engineer,6,125000,gbp
1461,56,Male,PhD,Software Engineer Manager,17,195000,gbp
1462,31,Male,Masters,Senior Software Engineer,7,140000,gbp
1463,42,Male,PhD,Senior Software Engineer,14,170000,gbp
1464,44,Male,Masters,Senior Project Engineer,11,170000,gbp
1465,37,Male,Masters,Senior Software Engineer,9,150000,gbp
1466,24,Female,Bachelors,Back end Developer,1,60000,gbp
1467,27,Male,Bachelors,Front end Developer,2,70000,gbp
1468,42,Male,PhD,Senior Software Engineer,14,170000,gbp
1469,24,Female,Bachelors,Front end Developer,1,55000,gbp
1470,28,Female,Bachelors,Front end Developer,3,80000,gbp
1471,43,Male,PhD,Senior Project Engineer,13,185000,gbp
1472,31,Male,Masters,Full Stack Engineer,7,140000,gbp
1473,43,Male,PhD,Software Engineer Manager,13,180000,gbp
1474,27,Female,Masters,Back end Developer,2,70000,gbp
1475,49,Male,PhD,Software Engineer Manager,15,185000,gbp
1476,48,Male,PhD,Senior Project Engineer,16,190000,gbp
1477,31,Male,Masters,Senior Project Engineer,6,125000,gbp
1478,40,Male,PhD,Senior Software Engineer,12,160000,gbp
1479,36,Male,Masters,Senior Software Engineer,8,140000,gbp
1480,54,Male,PhD,Software Engineer Manager,17,195000,gbp
1481,27,Male,Bachelors,Front end Developer,2,70000,gbp
1482,28,Male,Bachelors,Front end Developer,2,70000,gbp
1483,44,Male,Masters,Senior Project Engineer,11,170000,gbp
1484,43,Male,PhD,Senior Project Engineer,13,185000,gbp
1485,54,Male,PhD,Software Engineer Manager,17,195000,gbp
1486,32,Male,Masters,Back end Developer,6,130000,gbp
1487,38,Male,Masters,Senior Software Engineer,10,155000,gbp
1488,49,Male,PhD,Software Engineer Manager,15,185000,gbp
1489,27,Male,Bachelors,Front end Developer,3,80000,gbp
1490,54,Male,PhD,Software Engineer Manager,17,195000,gbp
1491,31,Male,Masters,Senior Project Engineer,7,135000,gbp
1492,24,Male,Bachelors,Back end Developer,1,55000,gbp
1493,48,Male,PhD,Senior Project Engineer,16,190000,gbp
1494,27,Female,Masters,Back end Developer,2,70000,gbp
1495,43,Male,PhD,Senior Project Engineer,13,185000,gbp
1496,44,Male,Masters,Senior Project Engineer,11,170000,gbp
1497,37,Male,Masters,Senior Software Engineer,9,150000,gbp
1498,56,Male,PhD,Software Engineer Manager,17,195000,gbp
1499,28,Male,Bachelors,Front end Developer,2,70000,gbp
1500,54,Male,PhD,Software Engineer Manager,17,195000,gbp
1501,31,Male,Masters,Senior Project Engineer,6,125000,gbp
1502,49,Male,PhD,Software Engineer Manager,15,185000,gbp
1503,27,Female,Masters,Back end Developer,2,70000,gbp
1504,38,Male,Masters,Senior Software Engineer,10,155000,gbp
1505,27,Male,Bachelors,Front end Developer,3,80000,gbp
1506,43,Male,PhD,Senior Project Engineer,13,185000,gbp
1507,48,Male,PhD,Senior Project Engineer,16,190000,gbp
1508,44,Male,Masters,Senior Project Engineer,11,170000,gbp
1509,54,Male,PhD,Software Engineer Manager,17,195000,gbp
1510,37,Male,Masters,Senior Software Engineer,9,150000,gbp
1511,28,Male,Bachelors,Front end Developer,2,70000,gbp
1512,27,Female,Masters,Back end Developer,2,70000,gbp
1513,49,Male,PhD,Software Engineer Manager,15,185000,gbp
1514,31,Male,Masters,Senior Project Engineer,7,135000,gbp
1515,27,Male,Bachelors,Front end Developer,3,80000,gbp
1516,54,Male,PhD,Software Engineer Manager,17,195000,gbp
1517,38,Male,Masters,Senior Software Engineer,10,155000,gbp
1518,44,Male,Masters,Senior Project Engineer,11,170000,gbp
1519,43,Male,PhD,Senior Project Engineer,13,185000,gbp
1520,27,Male,Bachelors,Front end Developer,2,70000,gbp
1521,48,Male,PhD,Senior Project Engineer,16,190000,gbp
1522,31,Male,Masters,Senior Project Engineer,6,125000,gbp
1523,54,Male,PhD,Software Engineer Manager,17,195000,gbp
1524,37,Male,Masters,Senior Software Engineer,9,150000,gbp
1525,28,Male,Bachelors,Front end Developer,2,70000,gbp
1526,27,Female,Masters,Back end Developer,2,70000,gbp
1527,34,Male,Bachelors,Front end Developer,5,95000,gbp
1528,43,Female,Masters,Senior Software Engineer,12,170000,gbp
1529,27,Male,Bachelors,Back end Developer,2,75000,gbp
1530,56,Female,PhD,Software Engineer Manager,18,210000,gbp
1531,32,Male,Masters,Full Stack Engineer,7,135000,gbp
1532,40,Male,PhD,Senior Software Engineer,12,160000,gbp
1533,23,Male,Bachelors,Front end Developer,1,55000,gbp
1534,46,Male,PhD,Senior Project Engineer,16,190000,gbp
1535,41,Female,PhD,Senior Project Engineer,11,165000,gbp
1536,28,Female,Bachelors,Front end Developer,3,80000,gbp
1537,34,Male,Bachelors,Back end Developer,6,120000,gbp
1538,49,Male,PhD,Software Engineer Manager,15,185000,gbp
1539,43,Male,PhD,Senior Project Engineer,13,185000,gbp
1540,54,Male,PhD,Software Engineer Manager,16,190000,gbp
1541,36,Male,Masters,Senior Software Engineer,8,140000,gbp
1542,33,Male,Masters,Full Stack Engineer,6,130000,gbp
1543,27,Female,Masters,Back end Developer,2,70000,gbp
1544,44,Male,Masters,Senior Project Engineer,11,170000,gbp
1545,31,Male,Masters,Senior Project Engineer,6,125000,gbp
1546,38,Male,Masters,Senior Software Engineer,10,155000,gbp
1547,27,Male,Bachelors,Front end Developer,2,70000,gbp
1548,54,Male,PhD,Software Engineer Manager,17,195000,gbp
1549,31,Male,Masters,Senior Software Engineer,7,140000,gbp
1550,32,Male,Masters,Back end Developer,6,130000,gbp
1551,38,Female,Masters,Back end Developer,10,155000,gbp
1552,51,Male,PhD,Software Engineer Manager,16,190000,gbp
1553,28,Male,Bachelors,Front end Developer,2,70000,gbp
1554,27,Male,Bachelors,Front end Developer,3,80000,gbp
1555,43,Male,PhD,Senior Project Engineer,13,185000,gbp
1556,27,Female,Masters,Full Stack Engineer,3,100000,gbp
1557,49,Male,PhD,Software Engineer Manager,15,185000,gbp
1558,48,Male,PhD,Senior Project Engineer,16,190000,gbp
1559,31,Male,Masters,Senior Project Engineer,7,135000,gbp
1560,40,Female,PhD,Senior Software Engineer,12,160000,gbp
1561,24,Male,Bachelors,Front end Developer,1,55000,gbp
1562,27,Male,Bachelors,Front end Developer,3,80000,gbp
1563,42,Male,PhD,Senior Software Engineer,14,170000,gbp
1564,24,Female,Bachelors,Front end Developer,1,55000,gbp
1565,28,Female,Bachelors,Front end Developer,3,80000,gbp
1566,43,Male,PhD,Senior Project Engineer,13,185000,gbp
1567,31,Male,Masters,Full Stack Engineer,7,140000,gbp
1568,43,Male,PhD,Software Engineer Manager,13,180000,gbp
1569,27,Female,Masters,Back end Developer,2,70000,gbp
1570,49,Male,PhD,Software Engineer Manager,15,185000,gbp
1571,48,Male,PhD,Senior Project Engineer,16,190000,gbp
1572,31,Male,Masters,Senior Project Engineer,6,125000,gbp
1573,40,Male,PhD,Senior Software Engineer,12,160000,gbp
1574,36,Male,Masters,Senior Software Engineer,8,140000,gbp
1575,54,Male,PhD,Software Engineer Manager,17,195000,gbp
1576,27,Male,Bachelors,Front end Developer,2,70000,gbp
1577,28,Male,Bachelors,Front end Developer,2,70000,gbp
1578,44,Male,Masters,Senior Project Engineer,11,170000,gbp
1579,43,Male,PhD,Senior Project Engineer,13,185000,gbp
1580,54,Male,PhD,Software Engineer Manager,17,195000,gbp
1581,32,Male,Masters,Back end Developer,6,130000,gbp
1582,38,Male,Masters,Senior Software Engineer,10,155000,gbp
1583,49,Male,PhD,Software Engineer Manager,15,185000,gbp
1584,27,Male,Bachelors,Front end Developer,3,80000,gbp
1585,54,Male,PhD,Software Engineer Manager,17,195000,gbp
1586,31,Male,Masters,Senior Project Engineer,7,135000,gbp
1587,24,Male,Bachelors,Back end Developer,1,55000,gbp
1588,48,Male,PhD,Senior Project Engineer,16,190000,gbp
1589,27,Female,Masters,Back end Developer,2,70000,gbp
1590,43,Male,PhD,Senior Project Engineer,13,185000,gbp
1591,44,Male,Masters,Senior Project Engineer,11,170000,gbp
1592,37,Male,Masters,Senior Software Engineer,9,150000,gbp
1593,56,Male,PhD,Software Engineer Manager,17,195000,gbp
1594,28,Male,Bachelors,Front end Developer,2,70000,gbp
1595,54,Male,PhD,Software Engineer Manager,17,195000,gbp
1596,31,Male,Masters,Senior Project Engineer,6,125000,gbp
1597,49,Male,PhD,Software Engineer Manager,15,185000,gbp
1598,54,Male,PhD,Software Engineer Manager,17,195000,gbp
1599,27,Male,Bachelors,Front end Developer,3,80000,gbp
1600,42,Male,PhD,Senior Software Engineer,14,170000,gbp
1601,38,Male,Masters,Senior Software Engineer,10,155000,gbp
1602,43,Male,PhD,Senior Project Engineer,13,185000,gbp
1603,27,Male,Bachelors,Front end Developer,2,70000,gbp
1604,31,Male,Masters,Full Stack Engineer,7,140000,gbp
1605,54,Male,PhD,Software Engineer Manager,17,195000,gbp
1606,36,Male,Masters,Senior Software Engineer,8,140000,gbp
1607,27,Female,Masters,Back end Developer,2,70000,gbp
1608,49,Male,PhD,Software Engineer Manager,15,185000,gbp
1609,48,Male,PhD,Senior Project Engineer,16,190000,gbp
1610,31,Male,Masters,Senior Project Engineer,7,135000,gbp
1611,40,Female,PhD,Senior Software Engineer,12,160000,gbp
1612,24,Male,Bachelors,Front end Developer,1,55000,gbp
1613,27,Male,Bachelors,Front end Developer,3,80000,gbp
1614,43,Male,PhD,Senior Project Engineer,13,185000,gbp
1615,27,Female,Masters,Full Stack Engineer,3,100000,gbp
1616,49,Male,PhD,Software Engineer Manager,15,185000,gbp
1617,48,Male,PhD,Senior Project Engineer,16,190000,gbp
1618,31,Male,Masters,Senior Project Engineer,6,125000,gbp
1619,40,Male,PhD,Senior Software Engineer,12,160000,gbp
1620,36,Male,Masters,Senior Software Engineer,8,140000,gbp
1621,54,Male,PhD,Software Engineer Manager,17,195000,gbp
1622,27,Male,Bachelors,Front end Developer,2,70000,gbp
1623,28,Male,Bachelors,Front end Developer,2,70000,gbp
1624,44,Male,Masters,Senior Project Engineer,11,170000,gbp
1625,43,Male,PhD,Senior Project Engineer,13,185000,gbp
1626,54,Male,PhD,Software Engineer Manager,17,195000,gbp
1627,32,Male,Masters,Back end Developer,6,130000,gbp
1628,38,Male,Masters,Senior Software Engineer,10,155000,gbp
1629,49,Male,PhD,Software Engineer Manager,15,185000,gbp
1630,27,Male,Bachelors,Front end Developer,3,80000,gbp
1631,54,Male,PhD,Software Engineer Manager,17,195000,gbp
1632,31,Male,Masters,Senior Project Engineer,7,135000,gbp
1633,24,Male,Bachelors,Back end Developer,1,55000,gbp
1634,48,Male,PhD,Senior Project Engineer,16,190000,gbp
1635,27,Female,Masters,Back end Developer,2,70000,gbp
1636,43,Male,PhD,Senior Project Engineer,13,185000,gbp
1637,44,Male,Masters,Senior Project Engineer,11,170000,gbp
1638,37,Male,Masters,Senior Software Engineer,9,150000,gbp
1639,56,Male,PhD,Software Engineer Manager,17,195000,gbp
1640,28,Male,Bachelors,Front end Developer,2,70000,gbp
1641,54,Male,PhD,Software Engineer Manager,17,195000,gbp
1642,31,Male,Masters,Senior Project Engineer,6,125000,gbp
1643,49,Male,PhD,Software Engineer Manager,15,185000,gbp
1644,54,Male,PhD,Software Engineer Manager,17,195000,gbp
1645,27,Male,Bachelors,Front end Developer,3,80000,gbp
1646,42,Male,PhD,Senior Software Engineer,14,170000,gbp
1647,38,Male,Masters,Senior Software Engineer,10,155000,gbp
1648,36,Male,Bachelors,Front end Developer,7,120000,gbp
1649,29,Female,Masters,Back end Developer,3,90000,gbp
1650,41,Female,PhD,Software Engineer Manager,14,180000,gbp
1651,33,Male,Bachelors,Full Stack Engineer,7,130000,gbp
1652,42,Male,PhD,Senior Software Engineer,12,170000,gbp
1653,28,Male,Bachelors,Back end Developer,2,70000,gbp
1654,55,Male,PhD,Software Engineer Manager,18,210000,gbp
1655,26,Female,Masters,Front end Developer,1,55000,gbp
1656,47,Male,PhD,Senior Project Engineer,16,190000,gbp
1657,44,Female,PhD,Software Engineer Manager,11,165000,gbp
1658,30,Male,Masters,Full Stack Engineer,5,105000,gbp
1659,39,Female,Masters,Senior Software Engineer,11,160000,gbp
1660,32,Male,Bachelors,Front end Developer,6,110000,gbp
1661,50,Male,PhD,Software Engineer Manager,17,195000,gbp
1662,27,Male,Bachelors,Back end Developer,3,85000,gbp
1663,46,Male,PhD,Senior Project Engineer,14,180000,gbp
1664,25,Female,Bachelors,Front end Developer,1,55000,gbp
1665,43,Male,PhD,Senior Project Engineer,13,185000,gbp
1666,35,Male,Bachelors,Back end Developer,8,140000,gbp
1667,29,Female,Masters,Back end Developer,3,90000,gbp
1668,40,Female,PhD,Senior Software Engineer,12,160000,gbp
1669,35,Male,Bachelors,Full Stack Engineer,8,145000,gbp
1670,41,Male,PhD,Senior Project Engineer,13,185000,gbp
1671,30,Male,Masters,Full Stack Engineer,5,105000,gbp
1672,33,Male,Bachelors,Front end Developer,6,110000,gbp
1673,55,Male,PhD,Software Engineer Manager,18,210000,gbp
1674,26,Female,Masters,Front end Developer,1,55000,gbp
1675,47,Male,PhD,Senior Project Engineer,16,190000,gbp
1676,44,Female,PhD,Software Engineer Manager,11,165000,gbp
1677,30,Male,Masters,Full Stack Engineer,5,105000,gbp
1678,39,Female,Masters,Senior Software Engineer,11,160000,gbp
1679,32,Male,Bachelors,Front end Developer,6,110000,gbp
1680,50,Male,PhD,Software Engineer Manager,17,195000,gbp
1681,27,Male,Bachelors,Back end Developer,3,85000,gbp
1682,46,Male,PhD,Senior Project Engineer,14,180000,gbp
1683,25,Female,Bachelors,Front end Developer,1,55000,gbp
1684,43,Male,PhD,Senior Project Engineer,13,185000,gbp
1685,35,Male,Bachelors,Back end Developer,8,140000,gbp
1686,29,Female,Masters,Back end Developer,3,90000,gbp
1687,40,Female,PhD,Senior Software Engineer,12,160000,gbp
1688,35,Male,Bachelors,Full Stack Engineer,8,145000,gbp
1689,41,Male,PhD,Senior Project Engineer,13,185000,gbp
1690,30,Male,Masters,Full Stack Engineer,5,105000,gbp
1691,33,Male,Bachelors,Front end Developer,6,110000,gbp
1692,55,Male,PhD,Software Engineer Manager,18,210000,gbp
1693,26,Female,Masters,Front end Developer,1,55000,gbp
1694,47,Male,PhD,Senior Project Engineer,16,190000,gbp
1695,44,Female,PhD,Software Engineer Manager,11,165000,gbp
1696,30,Male,Masters,Full Stack Engineer,5,105000,gbp
1697,39,Female,Masters,Senior Software Engineer,11,160000,gbp
1698,32,Male,Bachelors,Front end Developer,6,110000,gbp
1699,50,Male,PhD,Software Engineer Manager,17,195000,gbp
1700,27,Male,Bachelors,Back end Developer,3,85000,gbp
1701,46,Male,PhD,Senior Project Engineer,14,180000,gbp
1702,25,Female,Bachelors,Front end Developer,1,55000,gbp
1703,43,Male,PhD,Senior Project Engineer,13,185000,gbp
1704,35,Male,Bachelors,Back end Developer,8,140000,gbp
1705,29,Female,Masters,Back end Developer,3,90000,gbp
1706,40,Female,PhD,Senior Software Engineer,12,160000,gbp
1707,35,Male,Bachelors,Full Stack Engineer,8,145000,gbp
1708,41,Male,PhD,Senior Project Engineer,13,185000,gbp
1709,30,Male,Masters,Full Stack Engineer,5,105000,gbp
1710,33,Male,Bachelors,Front end Developer,6,110000,gbp
1711,55,Male,PhD,Software Engineer Manager,18,210000,gbp
1712,26,Female,Masters,Front end Developer,1,55000,gbp
1713,47,Male,PhD,Senior Project Engineer,16,190000,gbp
1714,44,Female,PhD,Software Engineer Manager,11,165000,gbp
1715,30,Male,Masters,Full Stack Engineer,5,105000,gbp
1716,39,Female,Masters,Senior Software Engineer,11,160000,gbp
1717,32,Male,Bachelors,Front end Developer,6,110000,gbp
1718,50,Male,PhD,Software Engineer Manager,17,195000,gbp
1719,27,Male,Bachelors,Back end Developer,3,85000,gbp
1720,46,Male,PhD,Senior Project Engineer,14,180000,gbp
1721,25,Female,Bachelors,Front end Developer,1,55000,gbp
1722,43,Male,PhD,Senior Project Engineer,13,185000,gbp
1723,35,Male,Bachelors,Back end Developer,8,140000,gbp
1724,29,Female,Masters,Back end Developer,3,90000,gbp
1725,40,Female,PhD,Senior Software Engineer,12,160000,gbp
1726,35,Male,Bachelors,Full Stack Engineer,8,145000,gbp
1727,41,Male,PhD,Senior Project Engineer,13,185000,gbp
1728,30,Male,Masters,Full Stack Engineer,5,105000,gbp
1729,33,Male,Bachelors,Front end Developer,6,110000,gbp
1730,55,Male,PhD,Software Engineer Manager,18,210000,gbp
1731,26,Female,Masters,Front end Developer,1,55000,gbp
1732,47,Male,PhD,Senior Project Engineer,16,190000,gbp
1733,44,Female,PhD,Software Engineer Manager,11,165000,gbp
1734,30,Male,Masters,Full Stack Engineer,5,105000,gbp
1735,39,Female,Masters,Senior Software Engineer,11,160000,gbp
1736,32,Male,Bachelors,Front end Developer,6,110000,gbp
1737,50,Male,PhD,Software Engineer Manager,17,195000,gbp
1738,27,Male,Bachelors,Back end Developer,3,85000,gbp
1739,46,Male,PhD,Senior Project Engineer,14,180000,gbp
1740,25,Female,Bachelors,Front end Developer,1,55000,gbp
1741,43,Male,PhD,Senior Project Engineer,13,185000,gbp
1742,35,Male,Bachelors,Back end Developer,8,140000,gbp
1743,29,Female,Masters,Back end Developer,3,90000,gbp
1744,40,Female,PhD,Senior Software Engineer,12,160000,gbp
1745,35,Male,Bachelors,Full Stack Engineer,8,145000,gbp
1746,41,Male,PhD,Senior Project Engineer,13,185000,gbp
1747,30,Male,Masters,Full Stack Engineer,5,105000,gbp
1748,33,Male,Bachelors,Front end Developer,6,110000,gbp
1749,55,Male,PhD,Software Engineer Manager,18,210000,gbp
1750,26,Female,Masters,Front end Developer,1,55000,gbp
1751,47,Male,PhD,Senior Project Engineer,16,190000,gbp
1752,44,Female,PhD,Software Engineer Manager,11,165000,gbp
1753,30,Male,Masters,Full Stack Engineer,5,105000,gbp
1754,39,Female,Masters,Senior Software Engineer,11,160000,gbp
1755,32,Male,Bachelors,Front end Developer,6,110000,gbp
1756,50,Male,PhD,Software Engineer Manager,17,195000,gbp
1757,27,Male,Bachelors,Back end Developer,3,85000,gbp
1758,46,Male,PhD,Senior Project Engineer,14,180000,gbp
1759,25,Female,Bachelors,Front end Developer,1,55000,gbp
1760,43,Male,PhD,Senior Project Engineer,13,185000,gbp
1761,35,Male,Bachelors,Back end Developer,8,140000,gbp
1762,29,Female,Masters,Back end Developer,3,90000,gbp
1763,40,Female,PhD,Senior Software Engineer,12,160000,gbp
